[Plate: ]
Time [s]: 0
   95210	   83916	   92852	   85822	   70279	   87074
  104242	   94694	  137347	  105900	  117343	  137627
  170165	  204934	  207570	  194954	  239902	  240400
  215117	  223165	      na	      na	      na	      na

Time [s]: 60
   86548	   89145	   82273	   76973	   85086	   83237
   97599	   87216	  124082	  107370	   96287	  128174
  165232	  178004	  172373	  175733	  201779	  204560
  204907	  207225	      na	      na	      na	      na

Time [s]: 120
   90988	   82287	   80293	   80921	   91048	   89386
  107431	   95235	  119175	  110576	  101113	  118901
  176060	  163831	  175105	  178091	  184751	  200947
  186935	  202661	      na	      na	      na	      na

Time [s]: 180
   99145	   80649	   80025	   80262	   79729	   81757
  104479	  103784	  115859	  117692	  116973	  123297
  176656	  181953	  189002	  174821	  190014	  203934
  178387	  198111	      na	      na	      na	      na

Time [s]: 240
   91789	   78471	   76583	   88976	   75001	   89011
   94111	   97646	  121767	  120259	  111112	  110575
  165682	  176216	  178205	  178354	  196221	  195812
  178885	  183560	      na	      na	      na	      na

Time [s]: 300
   93617	   74654	   86679	   89186	   79700	   95192
   94438	  100892	  120202	  127025	  129668	  121679
  163039	  190675	  175966	  168939	  184864	  201204
  168193	  172488	      na	      na	      na	      na

Time [s]: 360
   89709	   70204	   82295	   81952	   77365	   91979
   92714	  106586	  113946	  125544	  129187	  112389
  165247	  175610	  168137	  162894	  185234	  196394
  168006	  185438	      na	      na	      na	      na

Time [s]: 420
   86530	   70536	   80319	   87357	   80857	   83955
   94775	   97623	  111198	  123366	  127668	  117321
  168036	  184483	  168218	  163205	  169748	  185397
  165964	  180374	      na	      na	      na	      na

Time [s]: 480
   88271	   76941	   83301	   81275	   79975	   82866
   94035	  101601	  117472	  124173	  123306	  109478
  156326	  183184	  158403	  161043	  169526	  184723
  163260	  184573	      na	      na	      na	      na

Time [s]: 540
   88280	   75217	   78329	   79247	   82997	   88950
   85506	   96241	  107867	  124824	  127831	  111696
  166704	  178909	  159445	  156711	  175585	  185492
  160167	  174760	      na	      na	      na	      na

Time [s]: 600
   91374	   80377	   80770	   82586	   85842	   82567
   96295	   96460	  115891	  118233	  118423	  108717
  156884	  184702	  155100	  176443	  178106	  174296
  167925	  188952	      na	      na	      na	      na

Time [s]: 660
   83630	   77482	   82872	   80949	   82703	   82292
   91897	   90374	  108904	  116538	  118216	  108802
  162292	  176309	  154094	  167227	  185142	  177582
  157209	  188820	      na	      na	      na	      na

Time [s]: 720
   88382	   82386	   80645	   85435	   87496	   80830
   93943	   86209	  108468	  116278	  117509	  116876
  152602	  174143	  161913	  169906	  168821	  168769
  163391	  204444	      na	      na	      na	      na

Time [s]: 780
   88824	   83854	   81327	   84567	   91634	   76926
   87057	   83293	   99756	  112134	  114278	  102807
  159625	  167984	  154685	  180677	  167820	  166060
  155491	  198700	      na	      na	      na	      na

Time [s]: 840
   82298	   89155	   79864	   92874	   89358	   78689
   88856	   89677	  106174	  107636	  131320	  115532
  152175	  174844	  148225	  180251	  173588	  158646
  176518	  198474	      na	      na	      na	      na

Time [s]: 900
   87422	   83293	   77253	   86576	   86339	   82812
   84082	   85965	  100413	  112134	  124149	  110759
  149092	  168480	  157827	  178409	  166514	  157321
  170925	  192261	      na	      na	      na	      na

Time [s]: 960
   81845	   88498	   79855	   84588	   90086	   81402
   85838	   81468	   97189	  107795	  117845	  118432
  152238	  159398	  159058	  184409	  161801	  152878
  157139	  205082	      na	      na	      na	      na

Time [s]: 1020
   86548	   87100	   82118	   84713	   84572	   76188
   86803	   91513	  103568	  113934	  126582	  107971
  151718	  166649	  156806	  179424	  157737	  163952
  157460	  197051	      na	      na	      na	      na

Time [s]: 1080
   81471	   89920	   77011	   86430	   85844	   88527
   82522	   84659	  107130	  113201	  122247	  112786
  155061	  170017	  155625	  175506	  162186	  159402
  155288	  192292	      na	      na	      na	      na

Time [s]: 1140
   83452	   86490	   78653	   82057	   85884	   76605
   84703	   85220	  102061	  116490	  117465	  101305
  152661	  180972	  153495	  174039	  153316	  179440
  144932	  204883	      na	      na	      na	      na

Time [s]: 1200
   80845	   90121	   74920	   80689	   86441	   78357
   85671	   92657	   99833	  117273	  120367	  112297
  153784	  162296	  154460	  178505	  151611	  165552
  127645	  200096	      na	      na	      na	      na

Time [s]: 1260
   81184	   91437	   78039	   86799	   82689	   79420
   90256	   88752	  100963	  120739	  124420	  101594
  138091	  155074	  149692	  172744	  150124	  161798
  130545	  209484	      na	      na	      na	      na

Time [s]: 1320
   78171	   87897	   80033	   80816	   87509	   80725
   95780	   92128	  104506	  111021	  124189	  107761
  130889	  161972	  158217	  180547	  155524	  160223
  134149	  193626	      na	      na	      na	      na

Time [s]: 1380
   75882	   89594	   78525	   81885	   85616	   79347
   99529	   93421	  101765	  117185	  122658	  113634
  133360	  163453	  155599	  156924	  145567	  167403
  137909	  194552	      na	      na	      na	      na

Time [s]: 1440
   76805	   87291	   82452	   82183	   83275	   79658
   98266	   94785	  107227	  115431	  116859	  112827
  132674	  168331	  155273	  162181	  157210	  170312
  121628	  197462	      na	      na	      na	      na

Time [s]: 1500
   74757	   87994	   79317	   79725	   91573	   77148
  101475	   93598	  100192	  118648	  118093	  107235
  139555	  162893	  152419	  173131	  150809	  162253
  123649	  197681	      na	      na	      na	      na

Time [s]: 1560
   77783	   87550	   80165	   80007	   87438	   80773
  100252	   95494	  106693	  120547	  134427	  121159
  136216	  164770	  159926	  169386	  153934	  173136
  135721	  195944	      na	      na	      na	      na

Time [s]: 1620
   80183	   93347	   84333	   75859	   84548	   81500
   95988	   98436	  105424	  124829	  126593	  113350
  141378	  157720	  155033	  174737	  155473	  172436
  119443	  190470	      na	      na	      na	      na

Time [s]: 1680
   83264	   88444	   83137	   78772	   88903	   78255
  103338	   99208	  109212	  119640	  126207	  116968
  155553	  162297	  160856	  183166	  168914	  169609
  118782	  199813	      na	      na	      na	      na

Time [s]: 1740
   87143	   86261	   90216	   75198	   89957	   81446
   95778	   99547	  115354	  120331	  128168	  119176
  151267	  159878	  154258	  170090	  172260	  172535
  131037	  191440	      na	      na	      na	      na

Time [s]: 1800
   80317	   88231	   91455	   78993	   89410	   78446
  100158	  100089	  117700	  122292	  128978	  124084
  149811	  165687	  166716	  167716	  168008	  170925
  130471	  192477	      na	      na	      na	      na

Time [s]: 1860
   87316	   93122	   88209	   75496	   88474	   78428
  100936	   99246	  111818	  129207	  127036	  123387
  147640	  166950	  162772	  178832	  179956	  182429
  136817	  191957	      na	      na	      na	      na

Time [s]: 1920
   85473	   88907	   90397	   77310	   83396	   80164
  101530	   98397	  109704	  128779	  121086	  125147
  141717	  156769	  167196	  175009	  161378	  163433
  141039	  197707	      na	      na	      na	      na

Time [s]: 1980
   90226	   92794	   89277	   77874	   86397	   80068
   99880	   99371	  106421	  129652	  130434	  129208
